Название,Можно повторять,Максимум воспроизведений,Плавное затухание
,,,
CaucasoidTribes_0_0,Да,2,Да
CaucasoidTribes_0_1,Да,2,Да
CaucasoidTribes_0_2,Да,2,Да
CaucasoidTribes_p_0,Нет,,Нет
,,,
NegroidTribes_0_0,Да,2,Да
NegroidTribes_0_1,Да,2,Да
NegroidTribes_0_2,Нет,,Да
NegroidTribes_p_0,Нет,,Нет
,,,
MongoloidTribes_0_0,Да,2,Да
MongoloidTribes_0_1,Да,2,Да
MongoloidTribes_0_2,Да,2,Да
MongoloidTribes_p_0,Нет,,Нет
,,,
EthiopianTribes_0_0,Да,2,Да
EthiopianTribes_0_1,Да,2,Да
EthiopianTribes_0_2,Нет,,Да
EthiopianTribes_p_0,Нет,,Нет
,,,
AmericanoidTribes_0_0,Да,2,Да
AmericanoidTribes_0_1,Нет,,Нет
AmericanoidTribes_0_2,Да,2,Да
AmericanoidTribes_p_0,Нет,,Нет
,,,
SouthindianTribes_0_0,Да,3,Да
SouthindianTribes_0_1,Нет,,Да
SouthindianTribes_0_2,Да,2,Да
SouthindianTribes_p_0,Нет,,Нет
